id,name,kegg_id,hmdb_id,R1Ha,R2Ha,R3Ha,R1He,R2He,R3He
C_0009,Ala,"C00041,C00133,C01401","HMDB00161,HMDB01310",10084.3968,5936.1753,6205.2698,3515.7559,3878.5178,3718.5023
C_0033,Cys,"C00097,C00736,C00793","HMDB00574,HMDB03417",767.8589,198.0944,253.7346,211.3016,152.3208,166.2539
A_0090,ATP,C00002,HMDB00538,770.4266,804.0297,692.2357,267.5262,251.3277,414.501
C_0007,Putrescine,C00134,HMDB01414,6584.072,5248.1931,5192.7081,1681.1531,2380.9893,2188.5854
A_0055,Fructose 6-phosphate,"C05345,C00085",HMDB00124,166.3533,150.8341,173.0245,32.3442,72.1735,55.3509
C_0048,Hypoxanthine,C00262,HMDB00157,50.4836,35.9283,36.9735,7.6033,10.5968,19.1397
C_0017,GABA,C00334,HMDB00112,116.987,84.4167,78.9327,15.7497,21.6276,24.2305
C_0026,Creatinine,C00791,HMDB00562,734.779,1112.7904,1165.7088,95.8127,108.1205,105.1082
C_0039,Creatine,C00300,HMDB00064,4892.9336,3613.095,3494.5354,296.5501,176.987,203.7494
C_0008,Sarcosine,C00213,HMDB00271,15.3222,NA,11.4727,NA,NA,NA
